vector_id,x,y,norm,subdivisions,tile_spacing,x_hat,y_hat
v1,-0.17407057,3.8842025,3.8881009,1945,0.0019990235796930856,-8.949643e-05,0.0019716765
v2,-3.48389,1.8401014,3.9399827,1970,0.0019999911942457788,-0.0017912032,0.0009340616
