i,j,x,y,old,new
0,900,-1.5916249,0.84065545,5,3
0,1343,-2.375058,1.2544447,3,5
0,1344,-2.3768265,1.2553788,3,5
0,1349,-2.3856688,1.260049,5,1
0,1874,-3.3141167,1.7504314,0,5
0,1875,-3.315885,1.7513654,0,5
0,1887,-3.337107,1.7625743,5,3
1,844,-1.4926801,0.790345,0,1
1,845,-1.4944484,0.791279,0,1
1,882,-1.559882,0.8258394,0,5
1,902,-1.5952514,0.84452057,5,3
1,1343,-2.3751473,1.2564417,3,5
1,1880,-3.324817,1.7580328,0,5
1,1881,-3.3265855,1.7589669,0,5
1,1889,-3.340733,1.7664393,5,3
2,891,-1.5758878,0.836243,0,5
2,904,-1.5988779,0.84838575,5,3
2,1342,-2.3734686,1.2575047,3,5
2,1348,-2.3840795,1.263109,5,1
2,1885,-3.333749,1.7647002,0,5
2,1886,-3.3355174,1.7656342,0,5
3,897,-1.5865879,0.8438443,0,5
3,906,-1.6025043,0.8522509,5,3
3,1341,-2.3717897,1.2585677,3,5
3,1889,-3.340912,1.7704334,0,5
3,1890,-3.3426807,1.7713675,0,5
3,1894,-3.3497546,1.7751038,5,3
4,902,-1.5955199,0.85051167,0,5
4,903,-1.5972883,0.85144573,0,5
4,1340,-2.3701108,1.2596306,3,5
4,1893,-3.3480759,1.7761667,0,5
4,1894,-3.3498442,1.7771008,0,5
4,1896,-3.3533812,1.7789689,5,3
5,906,-1.6026833,0.8562449,0,5
5,907,-1.6044518,0.857179,0,5
5,908,-1.6062202,0.85811305,0,5
5,911,-1.6115257,0.86091524,5,3
5,1339,-2.3684316,1.2606936,3,5
5,1347,-2.3825796,1.2681661,5,1
5,1897,-3.3552392,1.7818999,0,5
5,1898,-3.3570077,1.782834,5,3
6,910,-1.6098467,0.8619782,0,5
6,911,-1.6116152,0.8629123,0,5
6,912,-1.6133837,0.86384636,0,5
6,913,-1.6151521,0.8647804,0,3
6,1339,-2.368521,1.2626905,3,5
6,1900,-3.3606339,1.786699,0,3
7,914,-1.61701,0.8677114,0,5
7,915,-1.6187785,0.86864555,0,3
7,916,-1.6205469,0.8695796,0,3
7,1338,-2.3668423,1.2637535,3,5
7,1903,-3.366029,1.7914983,0,3
8,917,-1.6224049,0.8725106,0,3
8,918,-1.6241734,0.8734447,0,3
8,1337,-2.365163,1.2648165,3,5
9,920,-1.6277999,0.87730986,0,3
9,1336,-2.3634841,1.2658795,3,5
9,1346,-2.3811688,1.27522,5,1
10,1335,-2.3618054,1.2669425,3,5
11,1334,-2.3601263,1.2680054,3,5
12,1334,-2.360216,1.2700025,3,5
13,1333,-2.3585367,1.2710654,3,5
14,1332,-2.3568575,1.2721282,3,5
15,1331,-2.3551788,1.2731912,3,5
16,344,-0.60978633,0.35326952,5,3
16,1330,-2.3535,1.2742542,3,5
16,1344,-2.3782585,1.2873311,5,1
17,1329,-2.3518207,1.2753172,3,5
19,357,-0.633045,0.37140337,1,5
20,1327,-2.3485525,1.2794402,3,5
21,1326,-2.3468733,1.280503,3,5
22,1325,-2.3451943,1.281566,3,5
23,1324,-2.3435156,1.282629,3,5
24,1323,-2.3418365,1.2836919,3,5
25,1322,-2.3401575,1.2847549,3,5
25,1342,-2.375527,1.3034362,5,1
28,355,-0.6303135,0.38750842,1,5
29,1319,-2.33521,1.2899408,3,5
30,1318,-2.3335311,1.2910038,3,5
31,1317,-2.3318522,1.2920667,3,5
32,1316,-2.3301733,1.2931297,3,5
33,354,-0.62899256,0.39655948,1,5
33,1315,-2.328494,1.2941926,3,5
34,1314,-2.3268151,1.2952555,3,5
35,1313,-2.3251362,1.2963185,3,5
36,1312,-2.3234572,1.2973815,3,5
39,353,-0.62776107,0.4076075,1,5
40,1339,-2.371564,1.3305893,1,5
45,352,-0.6265296,0.41865557,1,5
47,1302,-2.3067572,1.3100082,3,5
52,351,-0.62538755,0.43170062,1,5
57,1291,-2.2881987,1.3197036,3,5
58,1290,-2.28652,1.3207666,3,5
59,1289,-2.2848408,1.3218296,3,5
60,1288,-2.2831619,1.3228925,3,5
61,1287,-2.281483,1.3239555,3,5
62,1286,-2.2798038,1.3250184,3,5
63,1285,-2.278125,1.3260814,3,5
64,1284,-2.2764459,1.3271443,3,5
68,1279,-2.2679617,1.3304621,3,5
69,1278,-2.2662826,1.3315251,3,5
70,1277,-2.2646036,1.3325881,3,5
71,1276,-2.2629247,1.333651,3,5
72,1275,-2.2612455,1.3347138,3,5
75,1271,-2.2544403,1.3369688,3,5
76,1270,-2.2527616,1.3380318,3,5
77,283,-0.50736886,0.41810995,3,5
77,1269,-2.2510822,1.3390946,3,5
78,1268,-2.2494032,1.3401575,3,5
81,1264,-2.2425978,1.3424124,3,5
82,1263,-2.2409189,1.3434753,3,5
83,276,-0.4955265,0.4235536,3,5
83,1262,-2.23924,1.3445385,3,5
84,1261,-2.237561,1.3456013,3,5
86,1258,-2.2324345,1.346793,3,5
87,1257,-2.2307558,1.347856,3,5
88,270,-0.4853632,0.42793435,3,5
88,1256,-2.2290766,1.3489192,3,5
90,350,-0.62701994,0.5066533,1,5
90,1253,-2.2239504,1.350111,3,5
91,350,-0.62710947,0.50865036,1,5
91,1252,-2.2222712,1.3511738,3,5
92,265,-0.4768788,0.43125212,3,5
92,1251,-2.2205925,1.3522369,3,5
94,1336,-2.3710914,1.4356261,5,1
95,1336,-2.371181,1.4376231,5,1
96,1243,-2.2068024,1.3527523,3,5
97,258,-0.464947,0.4346988,3,5
97,1241,-2.2033548,1.3528813,3,5
98,256,-0.4614995,0.4348277,3,5
98,1239,-2.1999078,1.3530103,3,5
98,1294,-2.2971735,1.4043837,2,5
98,1295,-2.298942,1.4053177,2,5
98,1296,-2.3007107,1.4062518,2,5
98,1297,-2.302479,1.4071858,2,5
98,1298,-2.3042474,1.4081198,2,5
98,1299,-2.306016,1.4090539,2,5
98,1300,-2.3077843,1.4099879,2,5
98,1301,-2.3095527,1.410922,2,5
98,1302,-2.3113215,1.4118562,2,5
98,1303,-2.3130898,1.4127902,2,5
98,1304,-2.3148584,1.4137243,2,5
98,1305,-2.3166268,1.4146583,2,5
98,1306,-2.3183951,1.4155923,2,5
98,1307,-2.3201637,1.4165264,2,5
98,1308,-2.3219323,1.4174604,2,5
98,1309,-2.3237007,1.4183946,2,5
98,1310,-2.3254693,1.4193287,2,5
98,1311,-2.3272376,1.4202627,2,5
98,1312,-2.329006,1.4211967,2,5
98,1313,-2.3307745,1.4221308,2,5
98,1314,-2.332543,1.4230648,2,5
98,1315,-2.3343115,1.4239988,2,5
98,1316,-2.33608,1.424933,2,5
98,1317,-2.3378484,1.425867,2,5
98,1318,-2.339617,1.4268012,2,5
98,1319,-2.3413854,1.4277352,2,5
98,1320,-2.3431537,1.4286692,2,5
98,1321,-2.3449223,1.4296033,2,5
98,1322,-2.346691,1.4305373,2,5
98,1323,-2.3484592,1.4314713,2,5
98,1324,-2.3502278,1.4324055,2,5
98,1325,-2.3519962,1.4333395,2,5
98,1326,-2.3537645,1.4342736,2,5
99,254,-0.45805207,0.43495655,3,5
99,1237,-2.19646,1.3531392,3,5
99,1281,-2.2742727,1.3942378,2,5
99,1282,-2.2760413,1.3951719,2,5
99,1283,-2.2778099,1.3961059,2,5
99,1284,-2.2795782,1.3970399,2,5
99,1285,-2.2813468,1.3979741,2,5
99,1286,-2.2831151,1.3989081,2,5
99,1287,-2.2848837,1.3998423,2,5
99,1288,-2.286652,1.4007763,2,5
99,1289,-2.2884207,1.4017103,2,5
99,1290,-2.2901893,1.4026444,2,5
99,1291,-2.2919576,1.4035784,2,5
99,1324,-2.3503172,1.4344025,2,5
99,1325,-2.3520856,1.4353365,2,5
99,1326,-2.353854,1.4362706,2,5
99,1327,-2.3556225,1.4372047,2,5
99,1328,-2.357391,1.4381387,2,5
99,1329,-2.3591595,1.4390727,2,5
99,1330,-2.360928,1.4400069,2,5
99,1331,-2.3626964,1.4409409,2,5
99,1332,-2.3644648,1.4418749,2,5
99,1333,-2.3662333,1.442809,2,5
99,1334,-2.368002,1.4437431,2,5
100,252,-0.4546046,0.43508548,3,5
100,1235,-2.1930127,1.3532679,3,5
100,1273,-2.2602148,1.3887624,2,5
100,1274,-2.2619832,1.3896964,2,5
100,1275,-2.2637515,1.3906304,2,5
100,1276,-2.26552,1.3915645,2,5
100,1277,-2.2672887,1.3924986,2,5
100,1278,-2.269057,1.3934326,2,5
100,1279,-2.2708256,1.3943667,2,5
100,1280,-2.272594,1.3953007,2,5
100,1281,-2.2743623,1.3962348,2,5
100,1333,-2.366323,1.444806,2,5
100,1334,-2.3680916,1.4457401,2,5
101,250,-0.4511572,0.43521437,3,5
101,1267,-2.2496932,1.3851548,2,5
101,1268,-2.2514617,1.386089,2,5
101,1269,-2.25323,1.3870231,2,5
101,1270,-2.254999,1.3879572,2,5
101,1271,-2.2567673,1.3888912,2,5
101,1272,-2.2585356,1.3898252,2,5
101,1273,-2.2603042,1.3907593,2,5
101,1274,-2.2620726,1.3916934,2,5
101,1334,-2.368181,1.4477371,2,5
101,1335,-2.3699496,1.4486712,2,5
102,293,-0.52729094,0.47737604,2,5
102,294,-0.52905947,0.4783101,2,5
102,351,-0.62986237,0.5315516,1,5
102,1230,-2.184349,1.3525918,3,5
102,1263,-2.2427087,1.3834158,2,5
102,1264,-2.2444773,1.3843498,2,5
102,1265,-2.2462459,1.385284,2,5
102,1266,-2.2480142,1.386218,2,5
102,1267,-2.2497826,1.387152,2,5
102,1268,-2.2515512,1.3880861,2,5
102,1334,-2.3682704,1.4497342,2,5
102,1335,-2.370039,1.4506683,2,5
103,245,-0.4424938,0.4345381,3,5
103,286,-0.5150012,0.4728346,2,5
103,287,-0.51676965,0.4737687,2,5
103,350,-0.6281834,0.5326146,2,5
103,1228,-2.180902,1.3527206,3,5
103,1258,-2.233956,1.3807424,2,5
103,1259,-2.2357247,1.3816766,2,5
103,1260,-2.237493,1.3826106,2,5
103,1261,-2.2392614,1.3835447,2,5
103,1262,-2.24103,1.3844788,2,5
103,1334,-2.36836,1.4517312,2,5
103,1335,-2.3701286,1.4526653,2,5
104,243,-0.43904635,0.434667,3,5
104,280,-0.5044798,0.46922725,2,5
104,281,-0.5062483,0.47016132,2,5
104,1226,-2.1774545,1.3528495,3,5
104,1256,-2.2305086,1.3808714,2,5
104,1257,-2.2322772,1.3818054,2,5
104,1335,-2.370218,1.4546623,2,5
105,241,-0.4355989,0.43479592,3,5
105,275,-0.49572697,0.466554,2,5
105,351,-0.6301309,0.53754264,2,5
105,1224,-2.1740067,1.3529783,3,5
105,1253,-2.2252927,1.3800663,2,5
105,1335,-2.3703074,1.4566593,2,5
105,1336,-2.3720758,1.4575933,2,5
106,239,-0.43215147,0.43492478,3,5
106,270,-0.48697412,0.4638807,2,5
106,351,-0.63022035,0.5395397,2,5
106,1222,-2.1705596,1.3531075,3,5
106,1250,-2.2200768,1.379261,2,5
106,1335,-2.370397,1.4586563,2,5
106,1336,-2.3721654,1.4595904,2,5
107,237,-0.428704,0.43505368,3,5
107,351,-0.6303099,0.5415367,2,5
107,1247,-2.2148607,1.3784559,2,5
107,1335,-2.3704865,1.4606534,2,5
107,1336,-2.3722548,1.4615874,2,5
107,1337,-2.3740232,1.4625214,5,1
108,235,-0.42525658,0.43518257,3,5
108,1217,-2.1618962,1.352431,3,5
108,1245,-2.2114136,1.3785849,2,5
108,1336,-2.3723445,1.4635844,2,5
108,1337,-2.3741128,1.4645184,5,1
109,232,-0.42004064,0.4343774,3,5
109,1215,-2.1584487,1.3525599,3,5
109,1336,-2.372434,1.4655814,2,5
109,1337,-2.3742023,1.4665154,2,5
110,230,-0.4165932,0.4345063,3,5
110,352,-0.6323468,0.54846185,2,5
110,1213,-2.1550012,1.3526888,3,5
110,1336,-2.3725233,1.4675784,2,5
110,1337,-2.3742917,1.4685124,2,5
111,228,-0.41314575,0.4346352,3,5
111,1240,-2.2028396,1.3799055,2,5
111,1337,-2.3743813,1.4705095,2,5
112,226,-0.4096983,0.4347641,3,5
112,254,-0.45921552,0.46091783,2,5
112,1238,-2.199392,1.3800344,2,5
112,1337,-2.3744707,1.4725065,2,5
113,224,-0.40625086,0.434893,3,5
113,252,-0.45576805,0.46104673,2,5
113,1236,-2.1959445,1.3801633,2,5
113,1337,-2.37456,1.4745035,2,5
114,353,-0.63447326,0.55738395,2,1
114,1204,-2.139443,1.3522704,3,5
114,1234,-2.1924973,1.3802922,2,5
114,1337,-2.3746498,1.4765005,2,5
114,1338,-2.3764184,1.4774346,2,1
115,219,-0.39758748,0.43421674,3,5
115,1232,-2.1890497,1.3804212,2,5
115,1338,-2.3765078,1.4794316,2,1
116,217,-0.39414003,0.4343456,3,5
116,1231,-2.1873708,1.3814842,2,5
116,1338,-2.3765974,1.4814287,2,1
117,215,-0.3906926,0.43447453,3,5
117,245,-0.44374675,0.46249637,2,5
117,1229,-2.1839232,1.381613,2,5
117,1338,-2.3766868,1.4834257,2,5
118,243,-0.4402993,0.46262527,2,5
118,1227,-2.1804757,1.3817418,2,5
119,241,-0.43685186,0.46275416,2,5
119,1225,-2.1770284,1.3818707,2,5
119,1339,-2.3786342,1.4883537,2,1
120,239,-0.43340442,0.46288306,2,5
120,1223,-2.173581,1.3819997,2,5
120,1339,-2.3787236,1.4903507,2,1
121,1221,-2.1701334,1.3821286,2,5
121,1222,-2.171902,1.3830627,2,5
121,1339,-2.378813,1.4923478,2,1
122,236,-0.42827797,0.4640749,2,5
122,1220,-2.1684546,1.3831915,2,5
123,234,-0.42483056,0.4642038,2,5
123,1218,-2.1650069,1.3833203,2,5
123,1340,-2.3807607,1.4972758,2,1
124,232,-0.42138308,0.4643327,2,5
124,1216,-2.1615596,1.3834492,2,5
124,1340,-2.3808503,1.4992728,2,1
125,230,-0.41793564,0.46446157,2,5
125,1214,-2.1581123,1.3835783,2,5
126,1212,-2.1546648,1.3837072,2,5
126,1213,-2.156433,1.3846412,2,5
127,227,-0.41280922,0.46565345,2,5
127,1211,-2.1529858,1.38477,2,5
128,225,-0.40936175,0.46578234,2,5
128,1209,-2.1495383,1.3848989,2,5
128,1341,-2.3829768,1.508195,2,1
129,223,-0.40591434,0.46591127,2,5
129,1207,-2.1460907,1.3850279,2,5
130,221,-0.40246686,0.46604013,2,5
130,1205,-2.1426435,1.3851569,2,5
131,1204,-2.1409643,1.3862197,2,5
132,218,-0.39734048,0.467232,2,5
132,1202,-2.137517,1.3863485,2,5
133,216,-0.393893,0.46736088,2,5
133,1200,-2.1340697,1.3864775,2,5
134,214,-0.39044556,0.46748978,2,5
134,1047,-1.8635828,1.245563,5,0
136,1141,-2.029998,1.337359,5,3
137,65,-0.1272117,0.33430567,5,3
137,209,-0.38187167,0.46881056,2,5
137,1136,-2.0212452,1.3346856,5,3
137,1194,-2.1238167,1.3888612,5,2
138,1130,-2.0107238,1.3310782,5,3
139,66,-0.12915917,0.33923376,5,3
139,150,-0.27771083,0.41769493,3,5
139,206,-0.37674528,0.47000238,2,5
139,1048,-1.8657987,1.2564822,5,0
140,144,-0.26718947,0.4140876,3,5
140,145,-0.26895794,0.41502166,3,5
141,138,-0.25666815,0.41048023,3,5
142,131,-0.24437834,0.40593883,3,5
143,121,-0.22678313,0.3985952,3,5
144,199,-0.36481345,0.47344905,2,5
144,1049,-1.8680146,1.2674013,5,0
145,1049,-1.8681041,1.2693983,5,0
146,196,-0.359687,0.4746409,2,5
146,1181,-2.101632,1.3946916,2,5
148,193,-0.35456058,0.47583276,2,5
151,189,-0.3477552,0.4780876,2,5
152,1050,-1.8704991,1.2843117,5,0
153,186,-0.34262878,0.47927943,2,5
153,1050,-1.8705887,1.2863086,5,0
155,183,-0.33750236,0.4804713,2,5
158,179,-0.33069694,0.4827261,2,5
160,176,-0.32557052,0.48391798,2,5
165,169,-0.3136387,0.4873646,2,5
166,1153,-2.0539045,1.4084781,5,2
167,166,-0.30851227,0.48855644,2,5
170,162,-0.30170688,0.4908113,2,5
170,1148,-2.0454204,1.411796,5,2
175,156,-0.2915435,0.495192,2,5
175,1142,-2.035257,1.4161767,5,2
180,150,-0.28138018,0.49957272,2,5
181,149,-0.27970117,0.5006357,2,5
181,1135,-2.0234146,1.4216204,5,2
183,68,-0.13663396,0.42897072,0,5
184,68,-0.13672346,0.43096778,0,5
185,68,-0.13681296,0.43296477,0,5
186,143,-0.26953784,0.5050164,2,5
187,142,-0.2678589,0.5060794,2,5
188,141,-0.26617992,0.5071423,2,5
189,1126,-2.0082145,1.42919,5,2
194,134,-0.25433758,0.512586,2,5
195,133,-0.2526586,0.513649,2,5
196,67,-0.13602893,0.4539979,0,5
196,132,-0.2509796,0.5147119,2,5
197,67,-0.13611843,0.45599496,0,5
197,131,-0.24930064,0.5157749,2,5
198,130,-0.24762169,0.51683784,2,5
199,129,-0.24594271,0.5179008,2,5
205,66,-0.13506593,0.47103703,0,5
211,116,-0.22402652,0.5297222,2,5
212,65,-0.13392393,0.4840821,0,5
212,115,-0.22234754,0.5307852,2,5
214,1100,-1.9644715,1.4548299,5,2
216,1048,-1.87269,1.4102528,0,5
218,64,-0.13269244,0.49513015,0,5
222,1047,-1.8714585,1.4213008,0,5
223,63,-0.13137144,0.5041812,0,5
225,103,-0.20228934,0.5455377,2,5
226,102,-0.20061035,0.5466007,2,5
227,101,-0.19893138,0.5476636,2,5
227,1046,-1.8701373,1.4303517,0,5
228,62,-0.13005047,0.51323223,0,5
228,100,-0.19725241,0.54872656,2,5
229,99,-0.19557343,0.5497895,2,5
230,98,-0.19389445,0.5508525,2,5
232,61,-0.12863997,0.52028626,0,5
232,1083,-1.9360183,1.4748971,5,2
236,93,-0.18558908,0.5581643,2,5
237,92,-0.18391009,0.5592273,2,5
238,91,-0.18223113,0.5602902,2,5
239,90,-0.18055214,0.56135315,2,5
240,89,-0.17887317,0.56241614,2,5
242,1074,-1.9209971,1.4864608,5,2
244,86,-0.17392573,0.56760204,2,5
244,1042,-1.864585,1.4605649,5,0
245,85,-0.17224677,0.56866497,2,5
246,84,-0.17056778,0.56972796,2,5
247,83,-0.1688888,0.57079095,2,5
248,1041,-1.8631746,1.467619,5,0
249,1068,-1.9110128,1.4948356,5,2
250,81,-0.16562036,0.5749138,2,5
251,80,-0.16394137,0.5759768,2,5
252,79,-0.16226241,0.5770397,2,5
253,78,-0.16058342,0.57810265,2,5
254,55,-0.11999806,0.5586163,0,5
255,1039,-1.8602641,1.4797299,5,0
255,1063,-1.9027073,1.5021474,5,2
256,76,-0.15731497,0.5822257,2,5
257,54,-0.11849808,0.56367326,5,0
257,75,-0.155636,0.58328855,2,5
258,74,-0.15395702,0.5843516,2,5
259,73,-0.15227805,0.5854145,2,5
259,1037,-1.857085,1.4858499,5,0
260,52,-0.11522962,0.56779623,5,0
261,72,-0.15068856,0.5884745,2,5
261,1058,-1.8944021,1.5094593,5,2
262,51,-0.113640144,0.5708563,5,0
262,71,-0.1490096,0.5895375,2,5
263,70,-0.14733061,0.59060043,2,5
264,50,-0.11205067,0.5739162,5,0
264,69,-0.14565164,0.59166336,2,5
266,49,-0.11046119,0.5769762,5,0
266,68,-0.14406216,0.59472334,2,5
266,1054,-1.8877757,1.515708,5,2
267,67,-0.14238319,0.5957863,2,5
268,48,-0.108871706,0.58003616,5,0
268,66,-0.1407042,0.59684926,2,5
269,65,-0.13902524,0.59791225,2,5
270,65,-0.13911474,0.59990925,2,5
270,1031,-1.8474587,1.5022128,5,0
271,64,-0.13743575,0.6009722,2,5
272,63,-0.13575678,0.6020351,2,5
273,62,-0.1340778,0.6030981,2,5
274,62,-0.1341673,0.60509515,2,5
275,61,-0.13248833,0.6061581,2,5
276,60,-0.13080935,0.607221,2,5
277,59,-0.12913036,0.608284,2,5
278,59,-0.12921986,0.610281,2,5
279,58,-0.12754089,0.6113439,2,5
279,544,-0.9870184,1.0652978,0,1
280,57,-0.12586191,0.6124069,2,5
281,41,-0.09765586,0.599459,5,0
281,1025,-1.8378325,1.5185757,5,0
281,1527,-2.7256052,1.9874744,0,1
282,56,-0.124272436,0.6154669,2,5
283,55,-0.122593455,0.6165298,2,5
284,54,-0.12091449,0.6175928,2,5
284,541,-0.98216045,1.0724809,0,5
285,54,-0.121003985,0.6195898,2,5
285,533,-0.96810216,1.0670054,1,5
286,53,-0.11932501,0.6206528,2,5
286,540,-0.980571,1.0755408,0,5
286,1039,-1.8630385,1.5416374,2,5
287,52,-0.11764602,0.6217158,2,5
287,528,-0.95943874,1.0663291,1,5
288,483,-0.879947,1.0262934,2,1
288,484,-0.8817155,1.0272274,2,1
288,525,-0.9542228,1.065524,1,5
288,526,-0.9559913,1.066458,1,5
288,539,-0.97898144,1.0786009,0,5
289,51,-0.11605655,0.62477577,2,5
289,484,-0.881805,1.0292244,2,1
289,485,-0.8835735,1.0301585,2,1
289,486,-0.88534194,1.0310925,2,1
289,487,-0.8871104,1.0320266,2,1
289,488,-0.8888789,1.0329607,2,1
289,489,-0.89064735,1.0338948,2,1
289,523,-0.95077544,1.0656528,1,5
290,50,-0.11437757,0.6258387,2,5
290,486,-0.8854314,1.0330895,2,1
290,487,-0.8871999,1.0340236,2,1
290,488,-0.88896835,1.0349576,2,1
290,489,-0.8907368,1.0358918,2,1
290,490,-0.8925053,1.0368258,2,1
290,491,-0.89427376,1.0377598,2,1
290,492,-0.8960423,1.0386939,2,1
290,520,-0.9455595,1.0648477,1,5
290,521,-0.9473279,1.0657817,1,5
290,538,-0.9773919,1.0816607,0,5
291,49,-0.1126986,0.6269017,2,5
291,488,-0.8890579,1.0369548,2,1
291,489,-0.89082634,1.0378888,2,1
291,490,-0.8925948,1.0388229,2,1
291,491,-0.8943633,1.0397569,2,1
291,492,-0.8961318,1.040691,2,1
291,493,-0.8979003,1.041625,2,1
291,494,-0.8996687,1.0425591,2,1
291,495,-0.9014372,1.0434932,2,1
291,496,-0.9032057,1.0444273,2,1
291,518,-0.942112,1.0649766,1,5
292,49,-0.112788096,0.6288987,2,5
292,490,-0.8926843,1.0408199,2,1
292,491,-0.89445275,1.0417539,2,1
292,492,-0.8962213,1.042688,2,1
292,493,-0.89798975,1.043622,2,1
292,494,-0.89975816,1.0445561,2,1
292,495,-0.9015267,1.0454901,2,1
292,496,-0.90329516,1.0464243,2,1
292,497,-0.90506357,1.0473583,2,1
292,498,-0.90683204,1.0482924,2,1
292,499,-0.90860057,1.0492264,2,1
292,515,-0.9368961,1.0641713,1,5
292,516,-0.9386646,1.0651054,1,5
292,1521,-2.715979,2.0038373,0,5
293,48,-0.11110912,0.6299616,2,5
293,493,-0.8980793,1.045619,2,1
293,494,-0.8998477,1.0465531,2,1
293,495,-0.9016162,1.0474871,2,1
293,496,-0.9033847,1.0484213,2,1
293,497,-0.9051531,1.0493553,2,1
293,498,-0.90692157,1.0502894,2,1
293,499,-0.9086901,1.0512234,2,1
293,500,-0.9104586,1.0521575,2,1
293,501,-0.912227,1.0530915,2,1
293,502,-0.9139955,1.0540257,2,1
293,512,-0.9316802,1.0633662,1,5
293,513,-0.93344873,1.0643003,1,5
293,1034,-1.8548225,1.5509462,2,5
294,47,-0.10943015,0.6310246,2,5
294,495,-0.9017057,1.0494843,2,1
294,496,-0.90347415,1.0504183,2,1
294,497,-0.90524256,1.0513523,2,1
294,498,-0.90701103,1.0522864,2,1
294,499,-0.90877956,1.0532205,2,1
294,500,-0.9105481,1.0541545,2,1
294,501,-0.91231644,1.0550885,2,1
294,502,-0.914085,1.0560226,2,1
294,503,-0.91585344,1.0569568,2,1
294,504,-0.91762185,1.0578908,2,1
294,505,-0.9193904,1.0588248,2,1
294,506,-0.92115885,1.0597589,2,1
294,510,-0.9282328,1.0634952,1,5
294,511,-0.9300012,1.0644292,1,5
295,47,-0.109519646,0.63302165,2,5
295,497,-0.9053321,1.0533494,2,1
295,498,-0.90710056,1.0542834,2,1
295,499,-0.9088691,1.0552175,2,1
295,500,-0.9106376,1.0561516,2,1
295,501,-0.91240597,1.0570856,2,1
295,502,-0.9141745,1.0580196,2,1
295,503,-0.91594297,1.0589538,2,1
295,504,-0.9177114,1.0598878,2,1
295,505,-0.9194799,1.0608219,2,1
295,506,-0.9212484,1.0617559,2,1
295,507,-0.9230168,1.06269,2,5
295,508,-0.9247853,1.063624,2,5
295,509,-0.9265538,1.0645581,2,5
295,510,-0.9283223,1.0654922,2,5
296,46,-0.10784066,0.6340846,2,5
296,499,-0.90895855,1.0572145,2,1
296,500,-0.9107271,1.0581486,2,1
296,501,-0.91249543,1.0590826,2,1
296,502,-0.91426396,1.0600166,2,1
296,503,-0.91603243,1.0609508,2,1
296,504,-0.91780084,1.0618848,2,1
296,505,-0.9195694,1.0628189,2,5
296,506,-0.92133784,1.0637529,2,5
296,507,-0.92310625,1.064687,2,5
296,508,-0.9248748,1.065621,2,5
296,509,-0.92664325,1.0665551,2,5
296,510,-0.9284118,1.0674891,2,5
296,511,-0.9301802,1.0684233,2,5
296,512,-0.93194866,1.0693573,2,5
296,513,-0.9337172,1.0702914,2,5
297,46,-0.10793015,0.6360816,2,5
297,501,-0.91258496,1.0610796,2,1
297,502,-0.9143535,1.0620136,2,5
297,503,-0.91612196,1.0629478,2,5
297,504,-0.91789037,1.0638818,2,5
297,505,-0.9196589,1.0648159,2,5
297,506,-0.92142737,1.0657499,2,5
297,507,-0.9231958,1.066684,2,5
297,508,-0.9249643,1.067618,2,5
297,509,-0.9267328,1.0685521,2,5
297,510,-0.9285013,1.0694861,2,5
297,511,-0.9302697,1.0704203,2,5
297,512,-0.9320382,1.0713543,2,5
297,513,-0.9338067,1.0722884,2,5
297,514,-0.93557507,1.0732224,2,5
297,515,-0.9373436,1.0741565,2,5
297,516,-0.9391121,1.0750905,2,5
298,45,-0.10625118,0.6371445,2,5
298,504,-0.91797984,1.0658787,2,5
298,505,-0.91974837,1.0668129,2,5
298,506,-0.92151684,1.0677469,2,5
298,507,-0.92328525,1.068681,2,5
298,508,-0.9250538,1.069615,2,5
298,509,-0.92682225,1.0705491,2,5
298,510,-0.9285908,1.0714831,2,5
298,511,-0.9303592,1.0724173,2,5
298,512,-0.93212765,1.0733513,2,5
298,513,-0.9338962,1.0742854,2,5
298,514,-0.93566453,1.0752194,2,5
298,515,-0.93743306,1.0761535,2,5
298,516,-0.9392016,1.0770875,2,5
298,517,-0.94097006,1.0780216,2,5
298,518,-0.9427385,1.0789557,2,5
299,45,-0.106340684,0.63914156,2,5
299,506,-0.92160636,1.069744,2,5
299,507,-0.9233748,1.070678,2,5
299,508,-0.9251433,1.0716121,2,5
299,509,-0.9269118,1.0725461,2,5
299,510,-0.9286803,1.0734802,2,5
299,511,-0.9304487,1.0744143,2,5
299,512,-0.9322172,1.0753484,2,5
299,513,-0.9339857,1.0762824,2,5
299,514,-0.93575406,1.0772164,2,5
299,515,-0.9375226,1.0781505,2,5
299,516,-0.9392911,1.0790846,2,5
299,517,-0.9410596,1.0800186,2,5
299,518,-0.942828,1.0809526,2,5
299,519,-0.9445965,1.0818868,2,5
299,520,-0.946365,1.0828209,2,5
299,521,-0.9481334,1.0837549,2,5
299,1484,-2.651172,1.9832561,2,5
299,1485,-2.6529405,1.9841902,2,5
300,31,-0.081671566,0.6280617,5,0
300,44,-0.1046617,0.6402045,2,5
300,509,-0.92700124,1.0745431,2,5
300,510,-0.92876977,1.0754772,2,5
300,511,-0.9305382,1.0764112,2,5
300,512,-0.93230665,1.0773454,2,5
300,513,-0.9340752,1.0782794,2,5
300,514,-0.9358435,1.0792134,2,5
300,515,-0.93761206,1.0801475,2,5
300,516,-0.9393806,1.0810816,2,5
300,517,-0.94114906,1.0820156,2,5
300,518,-0.94291747,1.0829496,2,5
300,519,-0.944686,1.0838838,2,5
300,520,-0.94645447,1.0848179,2,5
300,521,-0.9482229,1.0857519,2,5
300,522,-0.94999135,1.0866859,2,5
